Number of Days with Rainfall > 20mm - (Days), Year, Model, Month, ISO3
No Data, 2020-2039, access1_0, Jan, IND
No Data, 2020-2039, access1_3, Jan, IND
0.09078, 2020-2039, bcc_csm1_1_m, Jan, IND
0.02154, 2020-2039, bcc_csm1_1_m, Feb, IND
-0.0244, 2020-2039, bcc_csm1_1_m, Mar, IND
-0.0334, 2020-2039, bcc_csm1_1_m, Apr, IND
-0.0221, 2020-2039, bcc_csm1_1_m, May, IND
0.02507, 2020-2039, bcc_csm1_1_m, Jun, IND
-0.1195, 2020-2039, bcc_csm1_1_m, Jul, IND
0.26177, 2020-2039, bcc_csm1_1_m, Aug, IND
0.1327, 2020-2039, bcc_csm1_1_m, Sep, IND
0.0151, 2020-2039, bcc_csm1_1_m, Oct, IND
0.07249, 2020-2039, bcc_csm1_1_m, Nov, IND
-0.1168, 2020-2039, bcc_csm1_1_m, Dec, IND
-0.0168, 2020-2039, bcc_csm1_1, Jan, IND
0.0122, 2020-2039, bcc_csm1_1, Feb, IND
-0.0051, 2020-2039, bcc_csm1_1, Mar, IND
0.05155, 2020-2039, bcc_csm1_1, Apr, IND
0.00429, 2020-2039, bcc_csm1_1, May, IND
0.17344, 2020-2039, bcc_csm1_1, Jun, IND
0.07129, 2020-2039, bcc_csm1_1, Jul, IND
0.47032, 2020-2039, bcc_csm1_1, Aug, IND
0.52839, 2020-2039, bcc_csm1_1, Sep, IND
0.08731, 2020-2039, bcc_csm1_1, Oct, IND
-0.1151, 2020-2039, bcc_csm1_1, Nov, IND
0.04739, 2020-2039, bcc_csm1_1, Dec, IND
0.01173, 2020-2039, bnu_esm, Jan, IND
-0.0399, 2020-2039, bnu_esm, Feb, IND
-0.0065, 2020-2039, bnu_esm, Mar, IND
0.00348, 2020-2039, bnu_esm, Apr, IND
-0.072, 2020-2039, bnu_esm, May, IND
0.08286, 2020-2039, bnu_esm, Jun, IND
0.23053, 2020-2039, bnu_esm, Jul, IND
0.68024, 2020-2039, bnu_esm, Aug, IND
0.39161, 2020-2039, bnu_esm, Sep, IND
0.08786, 2020-2039, bnu_esm, Oct, IND
-0.1724, 2020-2039, bnu_esm, Nov, IND
0.02355, 2020-2039, bnu_esm, Dec, IND
-0.0625, 2020-2039, canesm2, Jan, IND
-0.0016, 2020-2039, canesm2, Feb, IND
0.01978, 2020-2039, canesm2, Mar, IND
0.00348, 2020-2039, canesm2, Apr, IND
0.00863, 2020-2039, canesm2, May, IND
0.22615, 2020-2039, canesm2, Jun, IND
0.19395, 2020-2039, canesm2, Jul, IND
-0.1968, 2020-2039, canesm2, Aug, IND
0.14121, 2020-2039, canesm2, Sep, IND
0.11861, 2020-2039, canesm2, Oct, IND
-0.083, 2020-2039, canesm2, Nov, IND
0.04979, 2020-2039, canesm2, Dec, IND
0.21924, 2020-2039, ccsm4, Jan, IND
-0.0307, 2020-2039, ccsm4, Feb, IND
0.03027, 2020-2039, ccsm4, Mar, IND
-0.0132, 2020-2039, ccsm4, Apr, IND
0.06719, 2020-2039, ccsm4, May, IND
0.0344, 2020-2039, ccsm4, Jun, IND
0.10311, 2020-2039, ccsm4, Jul, IND
0.12453, 2020-2039, ccsm4, Aug, IND
0.27433, 2020-2039, ccsm4, Sep, IND
0.11643, 2020-2039, ccsm4, Oct, IND
-0.0957, 2020-2039, ccsm4, Nov, IND
-0.3654, 2020-2039, ccsm4, Dec, IND
No Data, 2020-2039, cesm1_bgc, Jan, IND
-0.0326, 2020-2039, cesm1_cam5, Jan, IND
0.01213, 2020-2039, cesm1_cam5, Feb, IND
0.03162, 2020-2039, cesm1_cam5, Mar, IND
0.09297, 2020-2039, cesm1_cam5, Apr, IND
-0.1136, 2020-2039, cesm1_cam5, May, IND
-0.3585, 2020-2039, cesm1_cam5, Jun, IND
-0.087, 2020-2039, cesm1_cam5, Jul, IND
0.27897, 2020-2039, cesm1_cam5, Aug, IND
0.30549, 2020-2039, cesm1_cam5, Sep, IND
0.12922, 2020-2039, cesm1_cam5, Oct, IND
-0.1308, 2020-2039, cesm1_cam5, Nov, IND
-0.0752, 2020-2039, cesm1_cam5, Dec, IND
No Data, 2020-2039, cmcc_cesm, Jan, IND
No Data, 2020-2039, cmcc_cm, Jan, IND
No Data, 2020-2039, cmcc_cms, Jan, IND
-0.0983, 2020-2039, cnrm_cm5, Jan, IND
0.00809, 2020-2039, cnrm_cm5, Feb, IND
-0.0276, 2020-2039, cnrm_cm5, Mar, IND
-0.0153, 2020-2039, cnrm_cm5, Apr, IND
0.00711, 2020-2039, cnrm_cm5, May, IND
-0.0135, 2020-2039, cnrm_cm5, Jun, IND
0.06604, 2020-2039, cnrm_cm5, Jul, IND
0.14761, 2020-2039, cnrm_cm5, Aug, IND
0.02348, 2020-2039, cnrm_cm5, Sep, IND
0.05794, 2020-2039, cnrm_cm5, Oct, IND
-0.0832, 2020-2039, cnrm_cm5, Nov, IND
-0.0188, 2020-2039, cnrm_cm5, Dec, IND
0.04209, 2020-2039, csiro_mk3_6_0, Jan, IND
-0.0245, 2020-2039, csiro_mk3_6_0, Feb, IND
-0.002, 2020-2039, csiro_mk3_6_0, Mar, IND
-0.0352, 2020-2039, csiro_mk3_6_0, Apr, IND
0.04959, 2020-2039, csiro_mk3_6_0, May, IND
-0.1346, 2020-2039, csiro_mk3_6_0, Jun, IND
-0.1296, 2020-2039, csiro_mk3_6_0, Jul, IND
0.07996, 2020-2039, csiro_mk3_6_0, Aug, IND
0.18338, 2020-2039, csiro_mk3_6_0, Sep, IND
0.12594, 2020-2039, csiro_mk3_6_0, Oct, IND
0.05792, 2020-2039, csiro_mk3_6_0, Nov, IND
-0.0075, 2020-2039, csiro_mk3_6_0, Dec, IND
0.08878, 2020-2039, gfdl_cm3, Jan, IND
0.03, 2020-2039, gfdl_cm3, Feb, IND
-0.0099, 2020-2039, gfdl_cm3, Mar, IND
0.01166, 2020-2039, gfdl_cm3, Apr, IND
0.04419, 2020-2039, gfdl_cm3, May, IND
0.20027, 2020-2039, gfdl_cm3, Jun, IND
-0.0217, 2020-2039, gfdl_cm3, Jul, IND
0.21591, 2020-2039, gfdl_cm3, Aug, IND
0.21541, 2020-2039, gfdl_cm3, Sep, IND
0.0164, 2020-2039, gfdl_cm3, Oct, IND
-0.1507, 2020-2039, gfdl_cm3, Nov, IND
-0.0988, 2020-2039, gfdl_cm3, Dec, IND
-0.0286, 2020-2039, gfdl_esm2g, Jan, IND
-0.0081, 2020-2039, gfdl_esm2g, Feb, IND
-0.0123, 2020-2039, gfdl_esm2g, Mar, IND
-0.0088, 2020-2039, gfdl_esm2g, Apr, IND
-0.0085, 2020-2039, gfdl_esm2g, May, IND
-0.0587, 2020-2039, gfdl_esm2g, Jun, IND
0.22841, 2020-2039, gfdl_esm2g, Jul, IND
0.1838, 2020-2039, gfdl_esm2g, Aug, IND
0.02725, 2020-2039, gfdl_esm2g, Sep, IND
0.16449, 2020-2039, gfdl_esm2g, Oct, IND
0.0552, 2020-2039, gfdl_esm2g, Nov, IND
0.03109, 2020-2039, gfdl_esm2g, Dec, IND
-0.0396, 2020-2039, gfdl_esm2m, Jan, IND
-0.0155, 2020-2039, gfdl_esm2m, Feb, IND
3.4E-4, 2020-2039, gfdl_esm2m, Mar, IND
0.01247, 2020-2039, gfdl_esm2m, Apr, IND
0.01597, 2020-2039, gfdl_esm2m, May, IND
0.28129, 2020-2039, gfdl_esm2m, Jun, IND
-0.042, 2020-2039, gfdl_esm2m, Jul, IND
-0.0551, 2020-2039, gfdl_esm2m, Aug, IND
0.16248, 2020-2039, gfdl_esm2m, Sep, IND
0.05714, 2020-2039, gfdl_esm2m, Oct, IND
-0.0662, 2020-2039, gfdl_esm2m, Nov, IND
-0.0193, 2020-2039, gfdl_esm2m, Dec, IND
-0.043, 2020-2039, hadgem2_ao, Jan, IND
-0.0169, 2020-2039, hadgem2_ao, Feb, IND
0.10764, 2020-2039, hadgem2_ao, Mar, IND
-0.0577, 2020-2039, hadgem2_ao, Apr, IND
0.15556, 2020-2039, hadgem2_ao, May, IND
0.0928, 2020-2039, hadgem2_ao, Jun, IND
0.26094, 2020-2039, hadgem2_ao, Jul, IND
0.54703, 2020-2039, hadgem2_ao, Aug, IND
0.2699, 2020-2039, hadgem2_ao, Sep, IND
-0.0325, 2020-2039, hadgem2_ao, Oct, IND
-0.006, 2020-2039, hadgem2_ao, Nov, IND
0.04064, 2020-2039, hadgem2_ao, Dec, IND
No Data, 2020-2039, hadgem2_cc, Jan, IND
0.13561, 2020-2039, hadgem2_es, Jan, IND
0.08024, 2020-2039, hadgem2_es, Feb, IND
-0.034, 2020-2039, hadgem2_es, Mar, IND
0.08643, 2020-2039, hadgem2_es, Apr, IND
0.05592, 2020-2039, hadgem2_es, May, IND
0.06085, 2020-2039, hadgem2_es, Jun, IND
0.65458, 2020-2039, hadgem2_es, Jul, IND
0.17874, 2020-2039, hadgem2_es, Aug, IND
0.13251, 2020-2039, hadgem2_es, Sep, IND
0.03855, 2020-2039, hadgem2_es, Oct, IND
0.03737, 2020-2039, hadgem2_es, Nov, IND
-0.0494, 2020-2039, hadgem2_es, Dec, IND
No Data, 2020-2039, inmcm4, Jan, IND
-0.0469, 2020-2039, ipsl_cm5a_lr, Jan, IND
0.08087, 2020-2039, ipsl_cm5a_lr, Feb, IND
0.0133, 2020-2039, ipsl_cm5a_lr, Mar, IND
0.00316, 2020-2039, ipsl_cm5a_lr, Apr, IND
0.00234, 2020-2039, ipsl_cm5a_lr, May, IND
0.00454, 2020-2039, ipsl_cm5a_lr, Jun, IND
0.10409, 2020-2039, ipsl_cm5a_lr, Jul, IND
0.16991, 2020-2039, ipsl_cm5a_lr, Aug, IND
0.06622, 2020-2039, ipsl_cm5a_lr, Sep, IND
-0.0034, 2020-2039, ipsl_cm5a_lr, Oct, IND
0.07341, 2020-2039, ipsl_cm5a_lr, Nov, IND
0.0431, 2020-2039, ipsl_cm5a_lr, Dec, IND
-0.0236, 2020-2039, ipsl_cm5a_mr, Jan, IND
-0.0484, 2020-2039, ipsl_cm5a_mr, Feb, IND
0.01663, 2020-2039, ipsl_cm5a_mr, Mar, IND
0.03731, 2020-2039, ipsl_cm5a_mr, Apr, IND
0.00628, 2020-2039, ipsl_cm5a_mr, May, IND
0.02532, 2020-2039, ipsl_cm5a_mr, Jun, IND
0.10314, 2020-2039, ipsl_cm5a_mr, Jul, IND
0.59334, 2020-2039, ipsl_cm5a_mr, Aug, IND
0.01869, 2020-2039, ipsl_cm5a_mr, Sep, IND
0.14049, 2020-2039, ipsl_cm5a_mr, Oct, IND
0.02136, 2020-2039, ipsl_cm5a_mr, Nov, IND
0.02774, 2020-2039, ipsl_cm5a_mr, Dec, IND
No Data, 2020-2039, ipsl_cm5b_lr, Jan, IND
0.0121, 2020-2039, miroc5, Jan, IND
-0.0306, 2020-2039, miroc5, Feb, IND
-0.0365, 2020-2039, miroc5, Mar, IND
0.044, 2020-2039, miroc5, Apr, IND
0.02364, 2020-2039, miroc5, May, IND
0.03525, 2020-2039, miroc5, Jun, IND
0.11213, 2020-2039, miroc5, Jul, IND
-0.1386, 2020-2039, miroc5, Aug, IND
0.14793, 2020-2039, miroc5, Sep, IND
0.17521, 2020-2039, miroc5, Oct, IND
-0.0447, 2020-2039, miroc5, Nov, IND
0.05311, 2020-2039, miroc5, Dec, IND
0.05528, 2020-2039, miroc_esm_chem, Jan, IND
-0.0021, 2020-2039, miroc_esm_chem, Feb, IND
-0.0018, 2020-2039, miroc_esm_chem, Mar, IND
-0.0274, 2020-2039, miroc_esm_chem, Apr, IND
-0.0075, 2020-2039, miroc_esm_chem, May, IND
0.43408, 2020-2039, miroc_esm_chem, Jun, IND
0.13372, 2020-2039, miroc_esm_chem, Jul, IND
0.57752, 2020-2039, miroc_esm_chem, Aug, IND
-0.0919, 2020-2039, miroc_esm_chem, Sep, IND
0.00425, 2020-2039, miroc_esm_chem, Oct, IND
-0.036, 2020-2039, miroc_esm_chem, Nov, IND
-0.0083, 2020-2039, miroc_esm_chem, Dec, IND
-0.0693, 2020-2039, miroc_esm, Jan, IND
-0.0641, 2020-2039, miroc_esm, Feb, IND
-0.0119, 2020-2039, miroc_esm, Mar, IND
0.03946, 2020-2039, miroc_esm, Apr, IND
-0.0029, 2020-2039, miroc_esm, May, IND
0.69277, 2020-2039, miroc_esm, Jun, IND
-0.6365, 2020-2039, miroc_esm, Jul, IND
0.0665, 2020-2039, miroc_esm, Aug, IND
0.20829, 2020-2039, miroc_esm, Sep, IND
-0.0457, 2020-2039, miroc_esm, Oct, IND
-0.0778, 2020-2039, miroc_esm, Nov, IND
0.04549, 2020-2039, miroc_esm, Dec, IND
-0.0299, 2020-2039, mpi_esm_lr, Jan, IND
-0.0659, 2020-2039, mpi_esm_lr, Feb, IND
0.00327, 2020-2039, mpi_esm_lr, Mar, IND
-0.0766, 2020-2039, mpi_esm_lr, Apr, IND
-0.0522, 2020-2039, mpi_esm_lr, May, IND
0.20839, 2020-2039, mpi_esm_lr, Jun, IND
-0.0728, 2020-2039, mpi_esm_lr, Jul, IND
0.13239, 2020-2039, mpi_esm_lr, Aug, IND
0.25767, 2020-2039, mpi_esm_lr, Sep, IND
0.13518, 2020-2039, mpi_esm_lr, Oct, IND
-0.0503, 2020-2039, mpi_esm_lr, Nov, IND
-0.0347, 2020-2039, mpi_esm_lr, Dec, IND
0.04156, 2020-2039, mpi_esm_mr, Jan, IND
-0.096, 2020-2039, mpi_esm_mr, Feb, IND
-0.0016, 2020-2039, mpi_esm_mr, Mar, IND
0.02797, 2020-2039, mpi_esm_mr, Apr, IND
-0.1724, 2020-2039, mpi_esm_mr, May, IND
-0.0454, 2020-2039, mpi_esm_mr, Jun, IND
0.08849, 2020-2039, mpi_esm_mr, Jul, IND
0.16772, 2020-2039, mpi_esm_mr, Aug, IND
0.33774, 2020-2039, mpi_esm_mr, Sep, IND
0.17223, 2020-2039, mpi_esm_mr, Oct, IND
0.07041, 2020-2039, mpi_esm_mr, Nov, IND
0.10448, 2020-2039, mpi_esm_mr, Dec, IND
0.01398, 2020-2039, mri_cgcm3, Jan, IND
0.02642, 2020-2039, mri_cgcm3, Feb, IND
-0.0189, 2020-2039, mri_cgcm3, Mar, IND
0.03818, 2020-2039, mri_cgcm3, Apr, IND
0.01358, 2020-2039, mri_cgcm3, May, IND
0.0286, 2020-2039, mri_cgcm3, Jun, IND
0.06857, 2020-2039, mri_cgcm3, Jul, IND
0.04064, 2020-2039, mri_cgcm3, Aug, IND
0.09137, 2020-2039, mri_cgcm3, Sep, IND
-0.0397, 2020-2039, mri_cgcm3, Oct, IND
0.02197, 2020-2039, mri_cgcm3, Nov, IND
0.1161, 2020-2039, mri_cgcm3, Dec, IND
No Data, 2020-2039, mri_esm1, Jan, IND
-0.0384, 2020-2039, noresm1_m, Jan, IND
-0.0132, 2020-2039, noresm1_m, Feb, IND
0.00324, 2020-2039, noresm1_m, Mar, IND
-0.0249, 2020-2039, noresm1_m, Apr, IND
0.01193, 2020-2039, noresm1_m, May, IND
0.17543, 2020-2039, noresm1_m, Jun, IND
0.38764, 2020-2039, noresm1_m, Jul, IND
0.30775, 2020-2039, noresm1_m, Aug, IND
0.12159, 2020-2039, noresm1_m, Sep, IND
0.09911, 2020-2039, noresm1_m, Oct, IND
-0.0796, 2020-2039, noresm1_m, Nov, IND
0.17183, 2020-2039, noresm1_m, Dec, IND
No Data, 2020-2039, access1_0, Jan, IND
No Data, 2020-2039, access1_3, Jan, IND
0.29774, 2020-2039, bcc_csm1_1_m, Jan, IND
1.31022, 2020-2039, bcc_csm1_1, Jan, IND
1.23129, 2020-2039, bnu_esm, Jan, IND
0.41418, 2020-2039, canesm2, Jan, IND
0.47307, 2020-2039, ccsm4, Jan, IND
No Data, 2020-2039, cesm1_bgc, Jan, IND
0.05048, 2020-2039, cesm1_cam5, Jan, IND
No Data, 2020-2039, cmcc_cesm, Jan, IND
No Data, 2020-2039, cmcc_cm, Jan, IND
No Data, 2020-2039, cmcc_cms, Jan, IND
0.04943, 2020-2039, cnrm_cm5, Jan, IND
0.20784, 2020-2039, csiro_mk3_6_0, Jan, IND
0.54356, 2020-2039, gfdl_cm3, Jan, IND
0.56455, 2020-2039, gfdl_esm2g, Jan, IND
0.29021, 2020-2039, gfdl_esm2m, Jan, IND
1.25368, 2020-2039, hadgem2_ao, Jan, IND
No Data, 2020-2039, hadgem2_cc, Jan, IND
1.32375, 2020-2039, hadgem2_es, Jan, IND
No Data, 2020-2039, inmcm4, Jan, IND
0.51193, 2020-2039, ipsl_cm5a_lr, Jan, IND
0.91778, 2020-2039, ipsl_cm5a_mr, Jan, IND
No Data, 2020-2039, ipsl_cm5b_lr, Jan, IND
0.35107, 2020-2039, miroc5, Jan, IND
1.03447, 2020-2039, miroc_esm_chem, Jan, IND
0.14138, 2020-2039, miroc_esm, Jan, IND
0.3533, 2020-2039, mpi_esm_lr, Jan, IND
0.69673, 2020-2039, mpi_esm_mr, Jan, IND
0.39824, 2020-2039, mri_cgcm3, Jan, IND
No Data, 2020-2039, mri_esm1, Jan, IND
1.11716, 2020-2039, noresm1_m, Jan, IND
